le,x,y,pol
7610,58,59,0
25977,121,74,1
25432,88,70,1
18365,61,15,1
25141,53,68,1
14050,98,109,0
23943,7,59,1
29366,54,101,1
24628,52,64,1
30449,113,109,1
23731,51,57,1
20156,60,29,1
13411,99,104,0
26863,111,81,1
27411,19,86,1
23345,49,54,1
17090,66,5,1
25150,62,68,1
28203,43,92,1
24751,47,65,1
29995,43,106,1
30681,89,111,1
7920,112,61,0
30025,73,106,1
25654,54,72,1
13107,51,102,0
12681,9,99,0
28474,58,94,1
11738,90,91,0
8317,125,64,0
4917,53,38,0
27116,108,83,1
24758,54,65,1
25325,109,69,1
29039,111,98,1
26940,60,82,1
11198,62,87,0
25459,115,70,1
22281,9,46,1
26680,56,80,1
23560,8,56,1
12779,107,99,0
25298,82,69,1
12080,48,94,0
11324,60,88,0
14306,98,111,0
22078,62,44,1
22282,10,46,1
3000,56,23,0
23035,123,51,1
12786,114,99,0
21641,9,41,1
14159,79,110,0
29897,73,105,1
24306,114,61,1
24071,7,60,1
1017,121,7,0
28856,56,97,1
4536,56,35,0
16703,63,2,1
13615,47,106,0
28535,119,94,1
30004,52,106,1
25331,115,69,1
24327,7,62,1
11917,13,93,0
6009,121,46,0
28540,124,94,1
30401,65,109,1
27769,121,88,1
504,120,3,0
13163,107,102,0
657,17,5,0
28935,7,98,1
9529,57,74,0
30709,117,111,1
29808,112,104,1
25712,112,72,1
23821,13,58,1
23808,0,58,1
21048,56,36,1
1344,64,10,0
8307,115,64,0
6188,44,48,0
29034,106,98,1
8094,30,63,0
12496,80,97,0
29551,111,102,1
13098,42,102,0
14185,105,110,0
26037,53,75,1
27197,61,84,1
27763,115,88,1
6581,53,51,0
25715,115,72,1
29637,69,103,1
20996,4,36,1
30665,73,111,1
28471,55,94,1
8248,56,64,0
6776,120,52,0
11184,48,87,0
26480,112,78,1
2049,1,16,0
25335,119,69,1
17824,32,11,1
22067,51,44,1
7729,49,60,0
24688,112,64,1
14197,117,110,0
11709,61,91,0
18500,68,16,1
2434,2,19,0
20022,54,28,1
26348,108,77,1
23048,8,52,1
13883,59,108,0
2020,100,15,0
22921,9,51,1
29898,74,105,1
22409,9,47,1
29271,87,100,1
25520,48,71,1
23878,70,58,1
29098,42,99,1
9015,55,70,0
27993,89,90,1
19781,69,26,1
25278,62,69,1
17393,113,7,1
20876,12,35,1
29809,113,104,1
13328,16,104,0
29372,60,101,1
23811,3,58,1
24380,60,62,1
25332,116,69,1
21365,117,38,1
9659,59,75,0
12781,109,99,0
28331,43,93,1
23813,5,58,1
1027,3,8,0
20087,119,28,1
27440,48,86,1
2245,69,17,0
23699,19,57,1
23737,57,57,1
13417,105,104,0
22260,116,45,1
28920,120,97,1
28793,121,96,1
23923,115,58,1
25497,25,71,1
3898,58,30,0
26301,61,77,1
1477,69,11,0
30640,48,111,1
22665,9,49,1
8563,115,66,0
4022,54,31,0
29258,74,100,1
16985,89,4,1
24897,65,66,1
9971,115,77,0
29461,21,102,1
27069,61,83,1
24817,113,65,1
12803,3,100,0
29970,18,106,1
13410,98,104,0
10490,122,81,0
21259,11,38,1
2560,0,20,0
24895,63,66,1
30647,55,111,1
9017,57,70,0
25274,58,69,1
28336,48,93,1
12698,26,99,0
4518,38,35,0
29739,43,104,1
5155,35,40,0
21003,11,36,1
28481,65,94,1
23940,4,59,1
25293,77,69,1
21303,55,38,1
24954,122,66,1
27841,65,89,1
17855,63,11,1
23876,68,58,1
22328,56,46,1
25650,50,72,1
266,10,2,0
14178,98,110,0
28025,121,90,1
21434,58,39,1
23176,8,53,1
27761,113,88,1
13684,116,106,0
29049,121,98,1
28944,16,98,1
22837,53,50,1
10483,115,81,0
9332,116,72,0
13354,42,104,0
25298,82,69,1
10675,51,83,0
5495,119,42,0
6714,58,52,0
14057,105,109,0
3002,58,23,0
24892,60,66,1
7463,39,58,0
13601,33,106,0
21047,55,36,1
30153,73,107,1
25585,113,71,1
6645,117,51,0
25184,96,68,1
7,7,0,0
17917,125,11,1
11986,82,93,0
27058,50,83,1
26309,69,77,1
20623,15,33,1
1664,0,13,0
17603,67,9,1
28282,122,92,1
2877,61,22,0
23547,123,55,1
1280,0,10,0
11373,109,88,0
11891,115,92,0
24562,114,63,1
29005,77,98,1
30455,119,109,1
21642,10,41,1
30128,48,107,1
12466,50,97,0
16702,62,2,1
29883,59,105,1
13490,50,105,0
8476,28,66,0
21144,24,37,1
1921,1,15,0
26859,107,81,1
6518,118,50,0
13923,99,108,0
29433,121,101,1
29937,113,105,1
18750,62,18,1
30348,12,109,1
12261,101,95,0
2688,0,21,0
11682,34,91,0
11682,34,91,0
22404,4,47,1
29897,73,105,1
19776,64,26,1
22838,54,50,1
25428,84,70,1
522,10,4,0
22584,56,48,1
23811,3,58,1
22038,22,44,1
23813,5,58,1
4283,59,33,0
17715,51,10,1
23931,123,58,1
6969,57,54,0
28334,46,93,1
25174,86,68,1
25455,111,70,1
12369,81,96,0
28467,51,94,1
28844,44,97,1
20154,58,29,1
11034,26,86,0
13482,42,105,0
7741,61,60,0
4406,54,34,0
22282,10,46,1
29809,113,104,1
29138,82,99,1
22794,10,50,1
22793,9,50,1
23675,123,56,1
27116,108,83,1
14173,93,110,0
10036,52,78,0
29378,66,101,1
29871,47,105,1
24760,56,65,1
25301,85,69,1
29271,87,100,1
7453,29,58,0
28778,106,96,1
23366,70,54,1
23684,4,57,1
23936,0,59,1
23426,2,55,1
24440,120,62,1
13,13,0,0
17601,65,9,1
30258,50,108,1
27500,108,86,1
13421,109,104,0
30266,58,108,1
21906,18,43,1
21387,11,39,1
26277,37,77,1
13474,34,105,0
26256,16,77,1
20748,12,34,1
29560,120,102,1
21765,5,42,1
27507,115,86,1
21361,113,38,1
25163,75,68,1
4923,59,38,0
24504,56,63,1
28272,112,92,1
2235,59,17,0
27065,57,83,1
18320,16,15,1
26604,108,79,1
14284,76,111,0
26225,113,76,1
26841,89,81,1
29273,89,100,1
26731,107,80,1
24856,24,66,1
14179,99,110,0
26380,12,78,1
19972,4,28,1
20249,25,30,1
28523,107,94,1
24502,54,63,1
5646,14,44,0
21262,14,38,1
12270,110,95,0
13988,36,109,0
899,3,7,0
30651,59,111,1
18757,69,18,1
12382,94,96,0
25962,106,74,1
22022,6,44,1
11439,47,89,0
29232,48,100,1
18694,6,18,1
11758,110,91,0
23930,122,58,1
25312,96,69,1
6184,40,48,0
9528,56,74,0
23687,7,57,1
25094,6,68,1
17521,113,8,1
11449,57,89,0
26101,117,75,1
13214,30,103,0
23864,56,58,1
25010,50,67,1
18192,16,14,1
13539,99,105,0
24187,123,60,1
1340,60,10,0
21004,12,36,1
6715,59,52,0
25030,70,67,1
23432,8,55,1
59,59,0,0
