le,x,y,pol
7004,92,54,0
7162,122,55,0
6848,64,53,0
6071,55,47,0
6322,50,49,0
7415,119,57,0
23740,60,57,1
6331,59,49,0
6331,59,49,0
6194,50,48,0
6194,50,48,0
7028,116,54,0
6732,76,52,0
22982,70,51,1
6627,99,51,0
7142,102,55,0
16592,80,1,1
16604,92,1,1
18425,121,15,1
21842,82,42,1
6357,85,49,0
6458,58,50,0
7284,116,56,0
6632,104,51,0
22868,84,50,1
6340,68,49,0
7273,105,56,0
16625,113,1,1
16625,113,1,1
16635,123,1,1
16614,102,1,1
18428,124,15,1
16611,99,1,1
16611,99,1,1
23510,86,55,1
226,98,1,0
208,80,1,0
17788,124,10,1
6321,49,49,0
18226,50,14,1
19249,49,22,1
7161,121,55,0
23797,117,57,1
7032,120,54,0
6851,67,53,0
16588,76,1,1
7131,91,55,0
16633,121,1,1
23540,116,55,1
6855,71,53,0
23122,82,52,1
6884,100,53,0
6606,78,51,0
6894,110,53,0
7287,119,56,0
16594,82,1,1
6883,99,53,0
18494,62,16,1
18297,121,14,1
18167,119,13,1
6333,61,49,0
7021,109,54,0
6334,62,49,0
23388,92,54,1
23401,105,54,1
23354,58,54,1
18619,59,17,1
7000,88,54,0
6749,93,52,0
6724,68,52,0
6453,53,50,0
16713,73,2,1
6244,100,48,0
1017,121,7,0
23128,88,52,1
6582,54,51,0
6066,50,47,0
6880,96,53,0
6876,92,53,0
18423,119,15,1
18350,46,15,1
6873,89,53,0
6490,90,50,0
6468,68,50,0
16618,106,1,1
23766,86,57,1
18426,122,15,1
16584,72,1,1
16473,89,0,1
7271,103,56,0
16432,48,0,1
22975,63,51,1
6892,108,53,0
7146,106,55,0
6612,84,51,0
19376,48,23,1
6847,63,53,0
6862,78,53,0
6857,73,53,0
16613,101,1,1
175,47,1,0
20655,47,33,1
6192,48,48,0
6903,119,53,0
23251,83,53,1
6363,91,49,0
7006,94,54,0
18244,68,14,1
16582,70,1,1
6323,51,49,0
6752,96,52,0
23232,64,53,1
16568,56,1,1
16486,102,0,1
6719,63,52,0
7290,122,56,0
6602,74,51,0
16601,89,1,1
6193,49,48,0
16496,112,0,1
6714,58,52,0
16605,93,1,1
6330,58,49,0
20911,47,35,1
18683,123,17,1
6744,88,52,0
635,123,4,0
16967,71,4,1
16967,71,4,1
18812,124,18,1
16467,83,0,1
18808,120,18,1
16616,104,1,1
6764,108,52,0
16567,55,1,1
16635,123,1,1
6866,82,53,0
16623,111,1,1
6481,81,50,0
6608,80,51,0
7412,116,57,0
6993,81,54,0
16606,94,1,1
1272,120,9,0
16635,123,1,1
6473,73,50,0
7017,105,54,0
6718,62,52,0
6872,88,53,0
7133,93,55,0
7135,95,55,0
6858,74,53,0
20408,56,31,1
21677,45,41,1
6455,55,50,0
6888,104,53,0
22001,113,43,1
22097,81,44,1
6124,108,47,0
6844,60,53,0
6462,62,50,0
6584,56,51,0
7280,112,56,0
7151,111,55,0
7413,117,57,0
6448,48,50,0
16579,67,1,1
6999,87,54,0
23395,99,54,1
16585,73,1,1
23644,92,56,1
16586,74,1,1
6474,74,50,0
22596,68,48,1
6734,78,52,0
23286,118,53,1
16594,82,1,1
16594,82,1,1
3782,70,29,0
5935,47,46,0
6063,47,47,0
6332,60,49,0
23414,118,54,1
6841,57,53,0
6589,61,51,0
16872,104,3,1
22974,62,51,1
16463,79,0,1
6997,85,54,0
6452,52,50,0
6579,51,51,0
7143,103,55,0
6344,72,49,0
16588,76,1,1
6450,50,50,0
6717,61,52,0
23499,75,55,1
16602,90,1,1
16624,112,1,1
16822,54,3,1
23095,55,52,1
7274,106,56,0
23788,108,57,1
18674,114,17,1
23140,100,52,1
23137,97,52,1
16694,54,2,1
29130,74,99,1
7163,123,55,0
16634,122,1,1
16599,87,1,1
7024,112,54,0
253,125,1,0
21294,46,38,1
16738,98,2,1
17659,123,9,1
7418,122,57,0
6885,101,53,0
18425,121,15,1
7008,96,54,0
16621,109,1,1
175,47,1,0
23636,84,56,1
23624,72,56,1
16490,106,0,1
7001,89,54,0
6456,56,50,0
19308,108,22,1
6878,94,53,0
7155,115,55,0
23538,114,55,1
331,75,2,0
6615,87,51,0
18685,125,17,1
18628,68,17,1
23526,102,55,1
17533,125,8,1
16561,49,1,1
16561,49,1,1
7002,90,54,0
23490,66,55,1
6896,112,53,0
23353,57,54,1
7132,92,55,0
16595,83,1,1
16573,61,1,1
16579,67,1,1
16571,59,1,1
16571,59,1,1
